objid,specobjid,class,ra,dec,redshift,u_g,g_r,r_i,i_z
1237648704592085393,4531892075457959936,GALAXY,217.637348002139,0.105078247349151,0.7368769,-0.04420471,0.5690861,1.03294,0.2776947
1237648704592216838,4531903620330051584,GALAXY,217.948350774963,0.134300634454495,0.5462396,2.224405,1.626686,1.005644,0.4655628
1237648704592216870,4531905269597493248,GALAXY,217.956232775327,0.0293255930741845,0.5344221,2.227734,1.557472,1.075851,0.3270741
1237648704592216951,4531903895207958528,GALAXY,217.978637744777,0.0761853784590507,0.3963393,1.096777,1.718094,0.7274799,0.3275852
1237648704592217029,4531904170085865472,GALAXY,217.994163224173,0.145684399658769,0.5405744,4.538872,1.712812,0.8925056,0.5304565
1237648705128891024,4531897573016098816,GALAXY,217.486639038987,0.549810995042152,0.5011215,0.7267799,1.684437,0.8731079,0.5084705
1237648705128891354,4531898947405633536,GALAXY,217.589268108409,0.580547135325198,0.4990444,1.667746,1.389933,0.7671795,0.4533405
1237648705128956222,4531899222283540480,GALAXY,217.66318714676,0.592738234199905,0.5009329,1.644491,1.742254,1.010548,0.4626827
1237648705128956759,4531898122771912704,GALAXY,217.703938604536,0.620226996319808,0.665167,-0.05744934,1.445478,1.081337,0.5804615
1237648705129021522,4531900321795168256,GALAXY,217.819267048046,0.505968837763192,0.6288041,1.766483,1.653543,1.197361,0.3994884
1237648705129021605,4531900046917261312,GALAXY,217.74586470729,0.583003418747978,0.373428,3.118593,1.826084,0.707428,0.3959656
1237648705129022255,4531899772039354368,GALAXY,217.814993441126,0.616132741487364,0.497238,1.871056,1.534071,0.8233013,0.3960361
1237648705129022400,4531900871550982144,GALAXY,217.855649031947,0.490229451975494,0.4228865,2.261305,1.664856,0.8003445,0.4586449
1237648705665827206,4531897298138191872,GALAXY,217.722032558078,0.92139448022206,0.3391832,2.347118,1.700436,0.613739,0.3004646
1237648705665892765,4531897847894005760,GALAXY,217.80206570868,0.971445266100863,0.479305,0.8016815,1.299578,0.7560139,0.3835659
1237648705666024073,4531907468620748800,GALAXY,218.060642576479,0.867980244836594,0.5314905,1.303789,1.439404,0.8416843,0.5089951
1237648720717874372,4512715768136488960,GALAXY,234.910914667294,-0.501552511871023,0.2998778,3.720009,1.086054,0.7812157,0.7026558
1237648720717939670,4512704773020211200,GALAXY,235.047488779828,-0.51898690768743,0.4692771,0.7395744,1.456177,0.8281689,0.52384
1237648720718005148,4512704223264397312,GALAXY,235.069994089209,-0.536204412899075,0.4298595,1.640268,1.672487,0.703331,0.4982185
