#Table1
u,g,r,i,z,class,z1,zerr
17.89755,16.78058,16.42089,16.22704,16.14128,GALAXY,0.01849263,4.686512E-06
19.31045,18.89603,18.60194,18.6163,18.49526,QSO,1.052367,0.0003701134
18.61174,16.9545,16.2866,16.04285,15.91495,STAR,-0.0001888073,8.813233E-06
18.0596,16.17165,15.4239,15.1498,15.0007,STAR,-4.370943E-05,8.444936E-06
19.37114,17.96897,17.37745,17.15364,17.06426,STAR,-0.0003277693,8.900713E-06
18.6542,17.648,17.21347,16.99549,16.91915,STAR,-0.0008235147,1.937773E-05
17.49286,16.24045,16.07652,16.01954,16.05398,STAR,-0.0003489637,8.71815E-06
17.96185,16.63891,16.02173,15.81321,15.71071,STAR,0.0001025288,1.075881E-05
19.47313,17.78555,17.00592,16.67789,16.47381,STAR,-4.456382E-05,1.406615E-05
19.44766,17.52287,16.4439,15.97543,15.60695,GALAXY,0.1337638,1.340274E-05
18.47029,17.04951,16.43494,16.17793,16.03369,STAR,-4.312351E-05,1.365006E-05
19.58396,18.59425,18.22992,17.89231,17.79278,GALAXY,0.08550438,6.406159E-06
17.28817,16.07244,15.78413,15.7102,15.68632,STAR,0.0001171381,1.283491E-05
16.19075,14.92992,14.47265,14.13235,14.23804,STAR,5.572399E-05,9.18202E-06
19.37164,17.72054,16.98517,16.69589,16.57102,STAR,-0.0001227434,1.181136E-05
19.24375,17.73302,16.93751,16.48981,16.14938,GALAXY,0.04876398,6.728162E-06
18.36395,16.40386,15.4542,15.02734,14.76024,STAR,-0.0002295851,7.083092E-06
18.26244,16.95527,16.4458,16.25891,16.16496,STAR,-0.0001370643,9.751411E-06
18.59352,17.07303,16.35998,15.9336,15.64707,GALAXY,0.08537927,8.238731E-06
19.39019,17.39911,16.6172,16.30975,16.11169,STAR,-0.0001917827,9.122929E-06
19.43249,19.2882,19.19167,19.01293,18.66418,QSO,2.101867,0.0002866822
19.20645,17.81515,17.16869,16.90994,16.79425,STAR,-0.0001148393,1.190565E-05
19.54663,18.16223,17.51656,17.1313,16.95328,GALAXY,0.119583,1.062655E-05
18.87307,17.75643,16.93562,16.51651,16.19308,GALAXY,0.1727643,1.186588E-05
19.14551,17.94895,17.85661,17.85323,17.88321,STAR,-0.0002215363,1.414605E-05
17.79815,17.67404,17.60916,17.5576,17.18205,QSO,0.3912614,3.564677E-05
19.31003,17.7519,16.91118,16.47969,16.12051,GALAXY,0.05703778,1.919515E-05
16.05439,14.7465,14.18674,13.95815,13.87219,STAR,0.0001094265,1.023748E-05
19.07316,17.33798,16.44005,15.89485,15.53507,QSO,0.056787,2.200651E-05
19.34935,18.16082,18.06126,18.05347,18.11409,STAR,-0.0005022569,1.284587E-05
19.50426,17.57609,16.57457,16.11046,15.76916,GALAXY,0.08319966,2.273082E-05
18.68402,17.48757,17.2783,17.17885,17.18014,STAR,-0.0005277893,1.734954E-05
18.04187,16.38026,15.51751,15.04708,14.68362,GALAXY,0.04593659,8.42446E-06
18.29972,17.05053,16.57642,16.3969,16.32781,STAR,0.0002417044,8.406862E-06
19.22342,19.01674,18.70262,18.65875,18.62971,QSO,1.227615,0.0003268497
19.25929,18.1956,17.6887,17.4572,17.30243,STAR,-0.0003725592,1.85134E-05
19.09137,18.05227,17.41207,17.02814,16.79618,GALAXY,0.1014662,7.804136E-06
19.0555,17.49355,16.90132,16.70879,16.64243,STAR,-0.0001313836,8.869542E-06
19.59866,18.32802,17.67189,17.38548,17.21481,STAR,-0.0003158438,1.980062E-05
17.38097,16.107,15.55238,15.22871,15.03034,GALAXY,0.03594661,9.492995E-06
18.4675,16.45149,15.52727,15.07429,14.70734,GALAXY,0.04690136,1.438246E-05
19.5029,18.15303,17.49571,17.14006,16.9105,GALAXY,0.05244784,2.406927E-05
18.52568,18.50333,18.44508,18.19252,18.05522,QSO,1.911947,0.0005184059
17.26449,15.75364,15.14812,14.93672,14.84394,STAR,-3.970377E-05,8.362075E-06
17.74465,16.33997,15.73805,15.50255,15.39622,STAR,-0.0001098006,9.273194E-06
19.13684,17.16673,16.24783,15.81754,15.49897,GALAXY,0.08550998,1.33762E-05
19.1165,17.65304,16.95359,16.56757,16.26234,GALAXY,0.04945239,8.579344E-06
18.76358,17.74376,17.22376,16.81957,16.62999,GALAXY,0.0592638,8.873229E-06
18.99561,18.6329,18.59614,18.66475,18.5022,QSO,0.80198,0.0006853259
19.0621,17.60397,16.84138,16.43709,16.17299,GALAXY,0.07003067,1.733033E-05
19.53656,18.2716,17.74478,17.46223,17.19455,GALAXY,0.05409189,1.099037E-05
18.82717,17.2858,16.63541,16.26135,15.99879,GALAXY,0.05529753,1.544457E-05
19.45036,18.14716,17.75924,17.47157,17.27015,GALAXY,0.05667366,8.195641E-06
17.69515,16.58213,16.19835,16.05468,15.9812,STAR,-0.0002029401,1.076019E-05
18.57201,17.23979,16.67378,16.46008,16.3539,STAR,-0.0001926637,9.557381E-06
17.21868,15.9325,15.34679,14.99377,14.72287,GALAXY,0.03252875,8.393597E-06
19.34343,17.2007,16.1758,15.7183,15.33951,GALAXY,0.09002006,1.899845E-05
19.17498,17.96711,17.93393,17.97906,18.02705,STAR,-0.0002382393,1.78575E-05
16.24139,16.59994,17.13721,17.49433,17.78799,STAR,-0.0003043454,3.802755E-05
19.0587,17.44214,16.82334,16.57212,16.44364,STAR,-0.0001811721,1.056445E-05
17.43274,16.15515,15.77544,15.651,15.6112,STAR,-0.0002470907,7.730791E-06
18.88832,17.82982,17.46852,17.20131,16.98564,GALAXY,0.04825005,9.263836E-06
19.30906,18.78009,18.41359,18.12035,18.26675,GALAXY,0.201935,1.022363E-05
18.87484,17.2416,16.39429,15.88896,15.54852,GALAXY,0.05097773,5.113401E-06
